Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",bundles\org.eclipse.team.cvs.ui\src\org\eclipse\team\internal\ccvs\ui\wizards\KSubstWizardCommitCommentPage.java,0,0,0,0,0,0,0,0,,,,0,0,0,1,,0,0,0,,0,0,0,0,,10,0,0,0,0,10,,,0,0,0,0,,,,,0,0,0,0,,0,,"0,00",0,0,0,0
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\ComparePlugin.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\ComparePlugin.java,1,1,1,1,4,0,3,1,,,,1,3,2,,8,5,1,8,,0,0,0,8,,81,14,35,17,10,33,,,17,26,17,9,,,,,1,1,1,1,,0,,"0,94",8,8,8,8
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\LCS.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\LCS.java,6,6,10,3,59,6,35,18,,,,1,1,2,,12,11,2,12,,0,5,5,2,,461,63,260,71,189,147,,,163,207,70,149,,,,,17,17,33,6,,3,,"0,57",43,43,68,19
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\Messages.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\Messages.java,1,1,1,1,3,0,2,1,,,,1,0,12,,1,1,0,1,,0,1,0,0,,39,3,21,17,2,16,,,15,17,16,1,,,,,1,1,1,1,,0,,"0,76",1,1,1,1
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\TextLineLCS.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\TextLineLCS.java,2,2,2,1,12,1,7,4,,,,2,2,0,,14,12,5,14,,0,2,5,7,,207,30,109,36,59,71,,,59,85,37,54,,,,,6,6,6,3,,2,,"0,65",24,24,28,16
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\DiffProject.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\DiffProject.java,1,1,1,1,8,0,3,4,,,,1,0,0,,6,6,2,6,,0,0,0,6,,76,9,27,12,9,40,,,12,20,12,9,,,,,2,2,2,1,,1,,"1,48",7,7,7,6
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\FileDiffResult.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\FileDiffResult.java,2,2,2,1,9,0,8,1,,,,1,1,0,,29,28,9,29,,0,1,4,24,,338,36,251,91,144,54,,,149,207,98,136,,,,,11,11,13,5,,4,,"0,22",60,60,65,36
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\FilePatch2.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\FilePatch2.java,2,2,2,1,8,0,6,3,,,,1,0,3,,23,23,9,23,,1,0,2,20,,266,29,155,59,80,83,,,80,122,58,73,,,,,7,7,9,5,,3,,"0,54",42,42,46,30
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\Hunk.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\Hunk.java,3,3,4,2,12,1,11,2,,,,1,1,0,,34,33,8,34,,5,10,0,19,,518,62,374,94,264,100,,,205,298,96,228,,,,,15,15,30,15,,3,,"0,27",92,92,128,65
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\HunkResult.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\HunkResult.java,3,3,3,2,15,0,10,4,,,,1,0,2,,15,15,5,15,,0,3,0,12,,273,29,164,43,98,82,,,87,132,47,93,,,,,15,15,15,9,,6,,"0,50",47,47,47,34
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\LineReader.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\LineReader.java,4,4,4,2,15,0,13,2,,,,1,4,0,,11,7,6,11,,4,1,0,6,,224,18,166,45,108,48,,,84,126,46,93,,,,,9,9,9,8,,5,,"0,29",40,40,44,25
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\PatchReader.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\PatchReader.java,7,6,7,5,31,3,26,4,,,,1,0,7,,19,19,5,19,,0,8,2,9,,705,87,525,119,406,136,,,309,420,118,339,,,,,25,25,30,23,,7,,"0,26",128,116,142,92
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\Utilities.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\internal\core\patch\Utilities.java,2,2,2,1,6,0,6,0,,,,1,1,0,,1,0,0,1,,0,0,0,1,,23,3,10,4,3,10,,,4,7,4,3,,,,,2,2,2,1,,1,,"1,00",2,2,2,1
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\patch\IFilePatch2.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\patch\IFilePatch2.java,0,0,0,0,0,0,0,0,,,,1,0,1,,6,6,0,6,,0,0,0,6,,89,10,13,12,1,66,,,10,11,11,0,,,,,0,0,0,0,,0,,"5,08",0,0,0,0
File,"bundles\org.eclipse.compare.core\src\org\eclipse\compare\patch\IFilePatchResult.java",bundles\org.eclipse.compare.core\src\org\eclipse\compare\patch\IFilePatchResult.java,0,0,0,0,0,0,0,0,,,,1,0,0,,6,6,0,6,,0,0,0,6,,90,10,11,10,0,69,,,9,10,10,0,,,,,0,0,0,0,,0,,"6,27",0,0,0,0
