feature;Initial_LOC;Initial_Methods;Initial_Complexity;Final_LOC;Final_Methods;Final_Complexity;Delta_LOC;Delta_Methods;Relative_Delta_LOC;BOM;TACH;CHD;FCH;LCH;FRCH;WCH;WCD;CSB;CSBS;ACDF;LOC;Classe_Tamanho_LOC;Classe_Complexidade;Classe_Mudanca_LCH;Classe_Mudanca_DeltaLOC
BIRT;1128406.0;85895;13.137.039.408.580.200;961263.0;91962;1.045.282.834.214.130;-167143.0;6067;-14.812.310.462.723.500;1390285276.0;1786047.0;1.627.416.692;2521330683.0;3264208602.0;290660.0;17.878.610.646;1.627.759.804;2963061.0;2.305.594.412;1.311.449.641;1750965.0;Alto;Alto;Alto;Baixo
CDT;836258.0;83703;999.077.691.361.122;925562.0;91554;10.109.465.452.082.900;89304.0;7851;10.679.000.978.167.000;3936865312.0;1256850.0;1.032.083.083;4242350103.0;4979767667.0;397497.0;12.598.893.959;1.033.954.727;2130525.0;2.255.768.375;832.997.698;2521007.0;Alto;Médio-Alto;Alto;Médio-Baixo
CVS;158885.0;17020;9.335.193.889.541.710;67747.0;6560;10.327.286.585.365.800;-91138.0;-10460;-5.736.098.435.975.700;153607287.0;180094.0;165.621.752;191151025.0;222053086.0;78572.0;1.808.334.904;166.041.862;309696.0;364.953.856;128.928.977;410578.0;Médio-Baixo;Médio-Baixo;Médio-Baixo;Baixo
DataTools;203.0;13;15.615.384.615.384.600;562820.0;56669;993.170.869.434.788;562617.0;56656;2.771.512.315.270.930;471427875.0;261384.0;136.756.194;283806476.0;313014521.0;80836.0;2.617.044.237;136.926.719;332358.0;366.080.144;123.878.177;1203578.0;Baixo;Alto;Médio-Alto;Alto
EclipseLink;1092147.0;124587;8.766.139.324.327.570;2484737.0;276305;8.992.732.668.608.960;1392590.0;151718;1.275.093.920.507.030;5806553257.0;1608084.0;1.410.442.731;4352373671.0;4800810103.0;848986.0;16.112.807.206;1.413.049.045;2195661.0;3.062.653.318;1.283.865.864;5672455.0;Alto;Baixo;Alto;Alto
EGit;68910.0;5571;12.369.413.031.771.600;130867.0;10382;12.605.182.045.848.500;61957.0;4811;8.991.002.757.219.560;39415588.0;76314.0;57.406.936;28771479.0;36505088.0;23756.0;76.715.361;57.533.811;151453.0;10.904.343;42.888.707;211963.0;Médio-Baixo;Alto;Baixo;Médio-Baixo
EMF;562284.0;45519;12.352.731.826.270.300;690606.0;54356;1.270.523.953.197.430;128322.0;8837;22.821.563.480.376.400;344779702.0;265638.0;176.813.755;242515740.0;280711743.0;160515.0;2.729.262.336;179.058.514;933507.0;404.285.212;14.520.567;1001067.0;Alto;Médio-Alto;Médio-Baixo;Médio-Alto
GEF;18720.0;1994;9.388.164.493.480.440;99979.0;12276;8.144.265.232.974.910;81259.0;10282;4.340.758.547.008.540;54595655.0;151721.0;165.980.114;68000765.0;89094867.0;50780.0;1.519.530.557;166.146.472;264041.0;383.850.423;138.222.226;241558.0;Baixo;Médio-Baixo;Médio-Baixo;Médio-Baixo
GMF Runtime;128228.0;14077;9.109.043.119.982.950;129593.0;14218;9.114.713.743.142.490;1365.0;141;10.645.100.913.996.900;38340028.0;64651.0;42.444.126;29853131.0;35494683.0;30258.0;651.547.591;42.713.859;89076.0;118.210.267;36.817.544;327485.0;Médio-Baixo;Médio-Baixo;Baixo;Baixo
JDT;1068159.0;55294;1.931.781.025.066.010;1550632.0;80680;19.219.533.961.328.700;482473.0;25386;4.516.864.998.562.940;1895083527.0;1236966.0;614.561.674;1525421869.0;1882670825.0;281088.0;12.543.792.799;621.855.914;2521263.0;1.235.487.027;465.786.198;2518055.0;Alto;Alto;Alto;Alto
