release,feature,Total LOC,Normalized LOC
JunoSR0,BIRT,1128406,72.32905662389956
JunoSR0,CDT,836258,0.0
JunoSR0,CVS,158885,94.83958916511442
JunoSR0,DataTools,0,0.0
JunoSR0,EclipseLink,1092147,2.7855374860220548
JunoSR0,EGit,68910,0.0
JunoSR0,EMF,562284,0.0
JunoSR0,GEF,18720,0.0
JunoSR0,GMF Runtime,128228,0.0
JunoSR0,JDT,1068159,0.0
JunoSR0,m2e,1902,0.0
JunoSR0,Mylyn,2220,0.0
JunoSR0,PDE,0,0.0
JunoSR0,PTP,198510,87.64377728348659
JunoSR0,RAP,348509,0.0
JunoSR0,Scout,193483,2.5629458369752163
JunoSR0,Subversive,57573,0.12915345779030174
JunoSR0,WebTools,33996,0.0
JunoSR0,Window Builder,487648,99.44379806464428
JunoSR1,BIRT,1134268,74.28307616409498
JunoSR1,CDT,1035141,60.339983738061434
JunoSR1,CVS,158894,94.84895470201984
JunoSR1,DataTools,203,0.036068369993958994
JunoSR1,EclipseLink,1177992,8.777730777445983
JunoSR1,EGit,70117,1.9481253127168843
JunoSR1,EMF,615646,41.58445161390876
JunoSR1,GEF,18970,0.3076582286269829
JunoSR1,GMF Runtime,128259,2.104548540393754
JunoSR1,JDT,1069704,0.31192208610260924
JunoSR1,m2e,64404,82.94560269664115
JunoSR1,Mylyn,52922,16.134390672335226
JunoSR1,PDE,269982,71.14956371868222
JunoSR1,PTP,206819,97.5270901975711
JunoSR1,RAP,350527,2.0447452681068374
JunoSR1,Scout,196612,5.5037076719203775
JunoSR1,Subversive,57602,0.29940119760479045
JunoSR1,WebTools,222537,65.86309045559662
JunoSR1,Window Builder,487714,99.53744430886235
JunoSR2,BIRT,1139676,76.08576085760858
JunoSR2,CDT,1052170,65.50648657176491
JunoSR2,CVS,158940,94.89682300175863
JunoSR2,DataTools,27632,4.909562559965886
JunoSR2,EclipseLink,1188360,9.501442817116125
JunoSR2,EGit,72866,6.385073518730733
JunoSR2,EMF,633340,55.37320178924892
JunoSR2,GEF,87320,84.4214179352441
JunoSR2,GMF Runtime,128267,2.6476578411405294
JunoSR2,JDT,1132529,12.995744131019391
JunoSR2,m2e,64072,82.50500975409074
JunoSR2,Mylyn,71210,21.953998116137573
JunoSR2,PDE,294124,77.51181293269066
JunoSR2,PTP,208898,100.0
JunoSR2,RAP,356559,8.15668949864224
JunoSR2,Scout,200364,9.029990319639852
JunoSR2,Subversive,57551,0.0
JunoSR2,WebTools,223679,66.26202569673934
JunoSR2,Window Builder,487950,99.87230057606628
KeplerPostRC4,BIRT,1182690,90.42390423904239
KeplerPostRC4,CDT,1062630,68.67999174767296
KeplerPostRC4,CVS,160123,96.12787079721531
KeplerPostRC4,DataTools,27632,4.909562559965886
KeplerPostRC4,EclipseLink,1226937,12.194212816571666
KeplerPostRC4,EGit,74113,8.397759736591508
KeplerPostRC4,EMF,642216,62.29017627530743
KeplerPostRC4,GEF,87320,84.4214179352441
KeplerPostRC4,GMF Runtime,128247,1.2898845892735913
KeplerPostRC4,JDT,1130778,12.642232433436432
KeplerPostRC4,m2e,64285,82.78767932265471
KeplerPostRC4,Mylyn,89842,27.883073241516254
KeplerPostRC4,PDE,297047,78.2821241932551
KeplerPostRC4,PTP,185965,72.721866041798
KeplerPostRC4,RAP,361443,13.10541887893649
KeplerPostRC4,Scout,213703,21.566526630388815
KeplerPostRC4,Subversive,58505,5.600563578724903
KeplerPostRC4,WebTools,228352,67.89444634635404
KeplerPostRC4,Window Builder,487965,99.89358381338857
KeplerSR0,BIRT,1185500,91.36058027246939
KeplerSR0,CDT,1064092,69.12355432579702
KeplerSR0,CVS,160172,96.17886094258927
KeplerSR0,DataTools,28250,5.019366760243062
KeplerSR0,EclipseLink,1230184,12.420861446279318
KeplerSR0,EGit,74529,9.069193150087965
KeplerSR0,EMF,642350,62.39460108165397
KeplerSR0,GEF,87320,84.4214179352441
KeplerSR0,GMF Runtime,128247,1.2898845892735913
KeplerSR0,JDT,1132161,12.921448126044787
KeplerSR0,m2e,64500,83.07300306557138
KeplerSR0,Mylyn,92617,28.766133754232325
KeplerSR0,PDE,295241,77.80618093749753
KeplerSR0,PTP,185379,72.02483615039668
KeplerSR0,RAP,361697,13.362785230819114
KeplerSR0,Scout,214361,22.184941870847076
KeplerSR0,Subversive,58524,5.7121052013619815
KeplerSR0,WebTools,227129,67.46721534817755
KeplerSR0,Window Builder,487983,99.91912369817531
KeplerSR1,BIRT,1189898,92.82659493261599
KeplerSR1,CDT,1066796,69.94393271926312
KeplerSR1,CVS,160178,96.18510463385954
KeplerSR1,DataTools,28318,5.031448775807541
KeplerSR1,EclipseLink,1242157,13.256606455053491
KeplerSR1,EGit,75752,11.043142824862406
KeplerSR1,EMF,643259,63.10297532769128
KeplerSR1,GEF,87320,84.4214179352441
KeplerSR1,GMF Runtime,128247,1.2898845892735913
KeplerSR1,JDT,1132633,13.016740828077431
KeplerSR1,m2e,64620,83.23225352673417
KeplerSR1,Mylyn,101410,31.564242254525087
KeplerSR1,PDE,295503,77.87522696906369
KeplerSR1,PTP,183595,69.90282023527733
KeplerSR1,RAP,366127,17.85149758845702
KeplerSR1,Scout,215416,23.17647390532044
KeplerSR1,Subversive,58546,5.841258659152284
KeplerSR1,WebTools,270211,82.5170647868037
KeplerSR1,Window Builder,487994,99.934731405545
LunaSR0,BIRT,1198299,95.6269562695627
LunaSR0,CDT,1086937,76.05459885195567
