release,feature,Total LOC,Mean CSB
2018-09,BIRT,1210390,10.318046242271183
2018-09,CDT,1140563,7.240846716592356
2018-09,CVS,161243,6.572252616555661
2018-09,DataTools,558719,0.0275901301287065
2018-09,EGit,111572,10.5125367065733
2018-09,EMF,673811,14.915293719824914
2018-09,EclipseLink,1079198,6.95541842772612
2018-09,GEF,85909,12.06846716647096
2018-09,GMF Runtime,129453,3.987983134223472
2018-09,JDT,1370662,20.30121587520073
2018-09,Mylyn,287362,4.093329706531266
2018-09,PDE,346997,11.62003087048956
2018-09,PTP,129439,4.859873451094121
2018-09,RAP,414240,2.9853875476493013
2018-09,Scout,230464,3.1993085730597226
2018-09,Subversive,67583,0.0232558139534883
2018-09,WebTools,292545,1.872929918056272
2018-09,Window Builder,474559,0.3473808802884747
2018-09,m2e,71597,7.728957248395301
2018-12,BIRT,1210842,10.320094475162175
2018-12,CDT,1158382,11.878239080658402
2018-12,CVS,159608,7.073819845857418
2018-12,DataTools,560147,0.0275348177060232
2018-12,EGit,112737,10.531012940651497
2018-12,EMF,672864,14.998608028290883
2018-12,EclipseLink,1080365,6.97368487724958
2018-12,GEF,85909,12.06846716647096
2018-12,GMF Runtime,129453,3.987983134223472
2018-12,JDT,1384078,20.501771813226693
2018-12,Mylyn,289060,4.087560096153847
2018-12,PDE,347802,11.61518803542907
2018-12,PTP,129439,4.859873451094121
2018-12,RAP,414341,2.990662912070462
2018-12,Scout,233879,3.192263225322626
2018-12,Subversive,67583,0.0232558139534883
2018-12,WebTools,292545,1.872929918056272
2018-12,Window Builder,474563,0.3476190476190476
2018-12,m2e,71630,7.736740130782271
2019-03,BIRT,1210958,10.3202551070383
2019-03,CDT,1158943,11.874922279792749
2019-03,CVS,159801,7.1638771824202285
2019-03,DataTools,560154,0.028758981637541
2019-03,EGit,113211,10.685561853951317
2019-03,EMF,673983,15.063854539995871
2019-03,EclipseLink,1081450,6.952376936505393
2019-03,GEF,85909,12.06846716647096
2019-03,GMF Runtime,129453,3.987983134223472
2019-03,JDT,1396150,20.53748040171193
2019-03,Mylyn,289376,4.090368858609202
2019-03,PDE,346593,11.758708357685563
2019-03,PTP,129439,4.859873451094121
2019-03,RAP,414399,2.9945592344821748
2019-03,Scout,239665,3.1610205831903944
2019-03,Subversive,74572,21.43866108786611
2019-03,WebTools,292545,1.872929918056272
2019-03,Window Builder,475237,0.349242986288572
2019-03,m2e,71716,7.746187363834423
2019-06,BIRT,1210982,10.320625142844705
2019-06,CDT,1163115,11.84566068585689
2019-06,CVS,160795,9.19918111753372
2019-06,DataTools,560151,0.029202519293888
2019-06,EGit,112735,11.00390537826378
2019-06,EMF,674327,15.125250895721171
2019-06,EclipseLink,1083215,7.011767780222374
2019-06,GEF,85909,12.06846716647096
2019-06,GMF Runtime,129467,3.9910751932536894
2019-06,JDT,1403483,20.50220189940204
2019-06,Mylyn,289393,4.091086434573829
2019-06,PDE,347569,11.750560881093207
2019-06,PTP,129469,4.857312252964427
2019-06,RAP,414406,2.998306376492505
2019-06,Scout,243792,3.1300355271873306
2019-06,Subversive,74572,21.43866108786611
2019-06,WebTools,311709,1.6296535934700378
2019-06,Window Builder,475229,0.3523205011952848
2019-06,m2e,72043,7.777160120845921
2019-09,BIRT,1211055,10.322446536431409
2019-09,CDT,1162832,11.893797549967765
2019-09,CVS,159953,9.57937511287701
2019-09,DataTools,560151,0.029202519293888
2019-09,EGit,113901,11.117264202978488
2019-09,EMF,684029,14.988952423249875
2019-09,EclipseLink,1082409,7.174261446940461
2019-09,GEF,85909,12.06846716647096
2019-09,GMF Runtime,129467,3.9910751932536894
2019-09,JDT,1408346,20.46771144069577
2019-09,Mylyn,289389,4.092112371690978
2019-09,PDE,348489,11.75071757849874
2019-09,PTP,125066,4.912772794216093
2019-09,RAP,414510,3.00067732035136
2019-09,Scout,246862,3.493190575639027
2019-09,Subversive,74572,21.43866108786611
2019-09,WebTools,311709,1.6296535934700378
2019-09,Window Builder,475229,0.3523205011952848
2019-09,m2e,70619,8.269654665686994
2019-12,BIRT,1211082,10.32262803909192
2019-12,CDT,1165862,11.868985333218973
2019-12,CVS,160043,9.661810739224656
2019-12,DataTools,560151,0.029202519293888
2019-12,EGit,118241,10.923668950975223
2019-12,EMF,684047,15.021484483428637
2019-12,EclipseLink,1091604,0.0035832091489041
2019-12,GEF,85909,12.06846716647096
2019-12,GMF Runtime,129462,3.9921293042867183
2019-12,JDT,1421892,20.310523321167377
2019-12,Mylyn,289496,4.09196436605777
2019-12,PDE,348956,11.81058431201972
2019-12,PTP,125066,4.912772794216093
2019-12,RAP,414790,3.001184508323286
2019-12,Scout,250685,3.557917418903966
2019-12,Subversive,74572,21.43866108786611
2019-12,WebTools,311709,1.6296535934700378
2019-12,Window Builder,475232,0.3523108204649118
2019-12,m2e,70323,8.370684359257893
2020-03,BIRT,1211158,10.32378226613851
2020-03,CDT,973673,13.5724814449577
2020-03,CVS,160189,9.75917555595733
2020-03,DataTools,560151,0.029202519293888
2020-03,EGit,119083,10.924044002095338
2020-03,EMF,684292,15.021144738789404
2020-03,EclipseLink,1092660,0.0049972840847365
2020-03,GEF,85909,12.06846716647096
2020-03,GMF Runtime,129683,4.017203848044379
2020-03,JDT,1432221,20.282686242373323
2020-03,Mylyn,289738,4.103211490599418
2020-03,PDE,350370,11.862652134948396
2020-03,PTP,124827,4.917057798042108
2020-03,RAP,414823,3.0021363001819026
2020-03,Scout,252366,3.587843125887707
2020-03,Subversive,74585,21.436004684624397
2020-03,WebTools,311709,1.6296535934700378
2020-03,Window Builder,475242,0.3529605715070751
2020-03,m2e,69594,8.64679012345679
2020-06,BIRT,1211314,10.325672249246406
2020-06,CDT,929289,12.73836839780672
2020-06,CVS,159897,9.796222544050206
2020-06,DataTools,560151,0.029202519293888
2020-06,EGit,120328,10.96695073789233
2020-06,EMF,684437,15.022214412548092
2020-06,EclipseLink,1052241,0.0171555395597144
2020-06,GEF,85909,12.06846716647096
2020-06,GMF Runtime,129682,4.017414507408188
2020-06,JDT,1445868,23.537086562602337
2020-06,Mylyn,289749,4.103115348865101
2020-06,PDE,348951,11.880903371698606
2020-06,PTP,124827,4.917057798042108
2020-06,RAP,415867,2.9991769894696856
2020-06,Scout,253282,3.8020300189775145
2020-06,Subversive,74585,21.436004684624397
2020-06,WebTools,311709,1.6296535934700378
2020-06,Window Builder,475242,0.3529605715070751
2020-06,m2e,69831,8.221989657719773
2020-09,BIRT,1211314,10.325672249246406
2020-09,CDT,929436,12.709719785129128
2020-09,CVS,160027,9.827721457880765
2020-09,DataTools,560165,0.0295213426533726
2020-09,EGit,120491,10.994498650612414
2020-09,EMF,685018,12.017036530608474
2020-09,EclipseLink,1052389,0.0171892271702898
2020-09,GEF,85909,12.06846716647096
2020-09,GMF Runtime,129682,4.017414507408188
2020-09,JDT,1469241,23.038858522606667
2020-09,Mylyn,289749,4.103115348865101
2020-09,PDE,348737,11.892182741116752
2020-09,PTP,124827,4.917057798042108
2020-09,RAP,417039,3.01082264754806
2020-09,Scout,255736,3.789653018342893
2020-09,Subversive,74585,21.436004684624397
2020-09,WebTools,311732,1.6312213816444356
2020-09,Window Builder,475242,0.3529605715070751
2020-09,m2e,69874,8.227692307692308
2020-12,BIRT,1211314,10.325672249246406
2020-12,CDT,930468,12.677154523963036
2020-12,CVS,160020,9.83238773539353
2020-12,DataTools,560165,0.0295213426533726
2020-12,EGit,120663,11.01742919389978
2020-12,EMF,685088,12.016609699769052
2020-12,EclipseLink,1055061,0.0211787238044751
2020-12,GEF,85909,12.06846716647096
2020-12,GMF Runtime,129682,4.017414507408188
2020-12,JDT,1472714,23.021019749033726
2020-12,Mylyn,289868,4.112220423337531
2020-12,PDE,350672,11.89782181650104
2020-12,PTP,124827,4.917057798042108
2020-12,RAP,417102,3.011179888832744
2020-12,Scout,254274,3.7247431143318144
2020-12,Subversive,74497,21.458640321500337
2020-12,WebTools,311732,1.6312213816444356
2020-12,Window Builder,475249,0.4224121348685114
2020-12,m2e,71179,8.23734983618493
2021-03,BIRT,1211418,10.333405875952122
2021-03,CDT,932150,12.56662876268532
2021-03,CVS,160023,9.83631096088846
2021-03,DataTools,560165,0.0295213426533726
2021-03,EGit,122443,10.983709016393442
2021-03,EMF,685099,12.016960739030024
2021-03,EclipseLink,1055209,0.0218424607177663
2021-03,GEF,85909,12.06846716647096
2021-03,GMF Runtime,129693,4.037916023030474
2021-03,JDT,1473910,23.08604937128955
2021-03,Mylyn,289868,4.112220423337531
2021-03,PDE,350992,11.89814467495744
2021-03,PTP,124827,4.917057798042108
2021-03,RAP,417296,3.0136190456143304
2021-03,Scout,255251,3.745447358762246
2021-03,Subversive,74497,21.45897521768252
2021-03,WebTools,311715,1.6327734229189996
2021-03,Window Builder,475546,0.4281398478481777
2021-03,m2e,71220,8.223205625606207
2021-06,BIRT,911423,27.156717957627947
2021-06,CDT,933900,12.56906006340502
2021-06,CVS,160028,9.827609102432548
2021-06,DataTools,560165,0.0295213426533726
2021-06,EGit,124511,10.931263858093129
2021-06,EMF,685336,12.016422514916965
2021-06,EclipseLink,1057705,0.0308499098929819
2021-06,GEF,85909,12.06846716647096
2021-06,GMF Runtime,129701,4.038682954226341
2021-06,JDT,1490200,22.98864753614829
2021-06,Mylyn,289866,4.112580200275829
2021-06,PDE,351916,11.88668163758853
2021-06,PTP,124827,4.917057798042108
2021-06,RAP,417405,3.016266492708487
2021-06,Scout,259921,3.695714800144041
2021-06,Subversive,74505,21.46031480241125
2021-06,WebTools,311745,1.6337555052377517
2021-06,Window Builder,475546,0.4281398478481777
2021-06,m2e,71589,4.833716567832506
2021-09,BIRT,911468,27.156770550548377
2021-09,CDT,934530,12.567907180853911
2021-09,CVS,160029,9.82984245789823
2021-09,DataTools,560173,0.029733181947204
2021-09,EGit,126018,10.897183238777744
2021-09,EMF,685134,12.02706647452241
2021-09,EclipseLink,1135978,0.0321636723666594
2021-09,GEF,85909,12.06846716647096
2021-09,GMF Runtime,129642,4.06120871398454
2021-09,JDT,1491075,23.48965078017196
2021-09,Mylyn,289869,4.113119865683276
2021-09,PDE,351955,11.89184131736527
2021-09,PTP,124832,4.918270197787463
2021-09,RAP,417418,3.0162658081350084
2021-09,Scout,260023,3.70844867677998
2021-09,Subversive,74505,21.46031480241125
2021-09,WebTools,311745,1.6337555052377517
2021-09,Window Builder,475546,0.4281398478481777
2021-09,m2e,73442,5.43210469444111
2021-12,BIRT,911421,27.1598562260422
2021-12,CDT,938789,12.553682095995214
2021-12,CVS,160029,9.829963179815296
2021-12,DataTools,560173,0.029733181947204
2021-12,EGit,126436,10.686381169023836
2021-12,EMF,685142,12.02695512406008
