"project","release","commitHash","methodId","BOM","TACH","FCH","LCH","FRCH","WCH","WCD","CSB","CSBS","ACDF","LOC"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/T0003_AdaptableFileTreeIteratorTest.java::testFileTreeToContainerAdaptation()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","14"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/T0003_AdaptableFileTreeIteratorTest.java::setUp()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","12"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/internal/mapping/T0002_history.java::testSingleRevision_3()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/internal/mapping/T0002_history.java::testDeepHistory_B()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","12"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/internal/mapping/T0002_history.java::testDeepHistory_A()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/internal/mapping/T0002_history.java::addFile(Tree, File)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","4"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/internal/mapping/T0002_history.java::createFile(String, String)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","7"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/internal/mapping/T0002_history.java::testShallowHistory()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/internal/mapping/T0002_history.java::setUp()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","44"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/internal/mapping/T0002_history.java::testSingleRevision_2()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/internal/mapping/T0002_history.java::testSingleRevision_1()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/op/T0001_ConnectProviderOperationTest.java::run(IProgressMonitor)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","5"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/op/T0001_ConnectProviderOperationTest.java::testNoRepository()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","7"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/op/T0001_ConnectProviderOperationTest.java::testNewRepository()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/op/T0001_ConnectProviderOperationTest.java::testNewUnsharedFile()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","50"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/Activator.java::start(BundleContext)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/Activator.java::stop(BundleContext)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/Activator.java::getDefault()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/GitTestCase.java::rmrf(File)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","16"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/GitTestCase.java::tearDown()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","5"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/GitTestCase.java::setUp()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/TestProject.java::createPackage(String)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","5"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/TestProject.java::dispose()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","4"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/TestProject.java::createOutputFolder(IFolder)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","4"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/TestProject.java::createBinFolder()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","5"
"EGIT","JunoSR0","dfbdc456d8645fc0c310b5e15cf8d25d8ff7f84b","org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/TestProject.java::getSourceFolder()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
