"project","release","commitHash","methodId","BOM","TACH","FCH","LCH","FRCH","WCH","WCD","CSB","CSBS","ACDF","LOC"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbsoluteBendpoint.java::getLocation()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractBorder.java::getPaintRectangle(IFigure, Insets)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","13"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractBorder.java::getPreferredSize(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","7"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractConnectionAnchor.java::removeAnchorListener(AnchorListener)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","14"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractConnectionAnchor.java::getOwner()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","11"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractConnectionAnchor.java::ancestorAdded(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","2"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractConnectionAnchor.java::ancestorMoved(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractConnectionAnchor.java::addAnchorListener(AnchorListener)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","15"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractConnectionAnchor.java::setOwner(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractConnectionAnchor.java::ancestorRemoved(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","2"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractConnectionAnchor.java::getReferencePoint()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","17"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLabeledBorder.java::setLabel(String)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","5"
