"project","release","commitHash","methodId","BOM","TACH","FCH","LCH","FRCH","WCH","WCD","CSB","CSBS","ACDF","LOC"
"GMF","JunoSR0","a37019dff2562008e0fd017122ab302814b88f9f","org.eclipse.gmf.runtime.common.core/src/org/eclipse/gmf/runtime/common/core/command/AbstractCommand.java::isRedoable()","7","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"GMF","JunoSR0","a37019dff2562008e0fd017122ab302814b88f9f","org.eclipse.gmf.runtime.common.core/src/org/eclipse/gmf/runtime/common/core/command/AbstractCommand.java::isUndoable()","7","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"GMF","JunoSR0","a37019dff2562008e0fd017122ab302814b88f9f","org.eclipse.gmf.runtime.common.core/src/org/eclipse/gmf/runtime/common/core/command/AbstractCommand.java::getLabel()","7","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"GMF","JunoSR0","a37019dff2562008e0fd017122ab302814b88f9f","org.eclipse.gmf.runtime.common.core/src/org/eclipse/gmf/runtime/common/core/command/AbstractCommand.java::redo()","7","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","19"
"GMF","JunoSR0","a37019dff2562008e0fd017122ab302814b88f9f","org.eclipse.gmf.runtime.common.core/src/org/eclipse/gmf/runtime/common/core/command/AbstractCommand.java::getCommandResult()","7","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
"GMF","JunoSR0","a37019dff2562008e0fd017122ab302814b88f9f","org.eclipse.gmf.runtime.common.core/src/org/eclipse/gmf/runtime/common/core/command/AbstractCommand.java::doExecute(IProgressMonitor)","7","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","12"
"GMF","JunoSR0","a37019dff2562008e0fd017122ab302814b88f9f","org.eclipse.gmf.runtime.common.core/src/org/eclipse/gmf/runtime/common/core/command/AbstractCommand.java::newErrorCommandResult(String)","7","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GMF","JunoSR0","a37019dff2562008e0fd017122ab302814b88f9f","org.eclipse.gmf.runtime.common.core/src/org/eclipse/gmf/runtime/common/core/command/AbstractCommand.java::setResult(CommandResult)","7","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
"GMF","JunoSR0","a37019dff2562008e0fd017122ab302814b88f9f","org.eclipse.gmf.runtime.common.core/src/org/eclipse/gmf/runtime/common/core/command/AbstractCommand.java::newCancelledCommandResult()","7","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","9"
"GMF","JunoSR0","a37019dff2562008e0fd017122ab302814b88f9f","org.eclipse.gmf.runtime.common.core/src/org/eclipse/gmf/runtime/common/core/command/AbstractCommand.java::isExecutable()","7","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","6"
